päivä 	aika(h)  mitä tein
13.3.     1 	   Tutustuminen kurssiin, aiheen pohtiminen
25.3.     3 	   Github-harjoittelu
26.3.     3 	   Aiheen lopullinen muotoilu README-tiedostoon.
29.3.     3        Sovelluksen perusrakenteen luominen, tärkeimmät luokat ja metodit valmiina
1.4.      1        Sovellus muutettu maven-yhteensopivaksi
2.4.      2 	   Github-repositorion siistiminen, readmen luominen
2.4.      3 	   Lukuisien yksikkötestien luominen ohjelmalle, jacoco:n testikattavuus ~60%
2.4.      2        Ohjelmaan lisätty toiminnallisuuksia, kuten tuotteiden poistaminen varastosta. Viimein pushattu githubiin.
8.4.      3        Tekstikäyttöliittymän luominen
9.4.      2        Tekstikäyttöliittymän hiominen, tilaus-luokan parantelu
9.4.      3        Yksikkötestien luominen tilaukselle
yht       26
